Method,PlaceboATT
CEM.W,65.02690915456787
PSC,63.89331746984408
MAH,-173.66829716075517
EBAL,-99.13558903071498
CEM.W,967.4255403890188
PSC,526.1674271015208
MAH,925.6013124639339
EBAL,556.1281414933683
CEM.W,925.7631744596156
PSC,748.2922759393241
MAH,835.5484648810489
EBAL,637.2645439544858
CEM.W,-70.51419568119854
PSC,238.16372874609988
MAH,319.55536832713096
EBAL,265.5935069553643
CEM.W,263.0835049450561
PSC,-320.70855118208874
MAH,243.83927957297237
EBAL,-5.395012779275021
CEM.W,-479.00398780422165
PSC,435.74670321531994
MAH,249.1862338159226
EBAL,177.6559553650941
CEM.W,-559.8818562415108
PSC,152.18457839143775
MAH,203.76567253600933
EBAL,121.36822773789117
CEM.W,-1226.4110915362103
PSC,-291.5151689702816
MAH,-248.2126581082848
EBAL,-631.4700356755084
CEM.W,-1383.09230710046
PSC,-571.3858948267671
MAH,-533.0035593437424
EBAL,-397.7604182867917
CEM.W,695.2192281281486
PSC,-402.05392958258926
MAH,-141.59391703750134
EBAL,-286.9554955398489
CEM.W,584.7938102741828
PSC,561.2772949295822
MAH,716.6889621079572
EBAL,461.73943460710143
CEM.W,102.34181534371783
PSC,147.55794326062914
MAH,189.6376178754299
EBAL,149.09664285197778
CEM.W,-566.0110686156067
PSC,-872.8379120489562
MAH,-570.5505174322161
EBAL,-850.2931402859767
CEM.W,366.69144760196286
PSC,-16.554626323559205
MAH,103.55104592833868
EBAL,-51.456862357746104
CEM.W,48.38559321577668
PSC,219.36255342631284
MAH,360.82129884970345
EBAL,317.799959767357
CEM.W,207.2693201140346
PSC,575.3967545763007
MAH,647.7775823933507
EBAL,376.08719791911153
CEM.W,780.4339316756095
PSC,610.8112585793442
MAH,389.1908441280275
EBAL,317.11355164910856
CEM.W,736.0046237620581
PSC,621.9855855691312
MAH,503.7871161695284
EBAL,82.4772943127573
CEM.W,-301.72812422357583
PSC,-420.0761195866753
MAH,-583.6964844340828
EBAL,-522.1783023805792
CEM.W,-250.85428167339796
PSC,486.8432902968698
MAH,214.18544272220515
EBAL,318.02805933712807
CEM.W,-448.4582721454999
PSC,-355.93371499829027
MAH,-215.83487377744677
EBAL,-102.63212879605271
CEM.W,-163.01999858602903
PSC,-120.32567681206547
MAH,144.44971066613016
EBAL,-30.921283704898087
CEM.W,507.85316416329897
PSC,751.8078518234915
MAH,1126.5898995961406
EBAL,949.6500403660175
CEM.W,170.94934005242794
PSC,-225.88210071859157
MAH,78.8794619499231
EBAL,-136.21200596704603
CEM.W,-856.2044510903252
PSC,-308.28090537999196
MAH,-568.181912958421
EBAL,-591.2145131337275
CEM.W,-1130.3556312472965
PSC,-369.54212169454513
MAH,83.72731985226983
EBAL,-257.0556791671952
CEM.W,-151.02365107149762
PSC,425.7421479016439
MAH,369.387821364483
EBAL,200.04208198128254
CEM.W,-765.4188124134562
PSC,-296.3657569628376
MAH,-408.6876393713137
EBAL,-706.3201288962691
CEM.W,-740.0684262896939
PSC,-685.811424730603
MAH,-332.6262568335742
EBAL,-513.6073180403182
CEM.W,-501.6784014315972
PSC,94.94641052913994
MAH,196.1892500212698
EBAL,164.455555124664
CEM.W,-449.6715727722076
PSC,-352.1238540109962
MAH,-13.766421860717855
EBAL,-521.9513947627493
CEM.W,-55.84917506528927
PSC,211.99987873886585
MAH,145.31554146968938
EBAL,-73.55748632410086
CEM.W,1073.173093966082
PSC,460.42473277339195
MAH,726.2492061961775
EBAL,627.2058443661344
CEM.W,-252.0386645734825
PSC,317.928906103577
MAH,52.66281291049745
EBAL,56.40116801875956
CEM.W,114.80206061484841
PSC,784.5683950687499
MAH,700.7290158641053
EBAL,793.1539571582507
CEM.W,1556.1330117206494
PSC,503.2506328415793
MAH,253.56741994478944
EBAL,209.46737885916627
CEM.W,261.0125431652423
PSC,-538.1842658816768
MAH,-9.24929782597701
EBAL,-435.07358558532724
CEM.W,784.0068331539323
PSC,258.0565128005319
MAH,127.4096064198302
EBAL,51.678620405986294
CEM.W,1204.9454377839638
PSC,504.3753019005353
MAH,1061.53831013124
EBAL,656.5199097155046
CEM.W,-255.15441141555038
PSC,-360.8137174021922
MAH,203.63134772047033
EBAL,-270.4995320570315
CEM.W,-1667.802661534346
PSC,-979.5205377007169
MAH,-804.1252923188385
EBAL,-963.3763659303268
CEM.W,203.00199412721304
PSC,-96.07048698707786
MAH,249.44078065249323
EBAL,321.7282186747552
CEM.W,333.46797665300346
PSC,1247.8293476168956
MAH,1100.9158072038135
EBAL,1157.254329252025
CEM.W,760.8141714948633
PSC,652.9614378675469
MAH,817.0046483691694
EBAL,753.4860536223932
CEM.W,396.83163980660174
PSC,-399.48867377849547
MAH,-105.02433022906916
EBAL,-632.646688697936
CEM.W,208.1116966689242
PSC,333.188946951921
MAH,486.8173459242489
EBAL,286.0172279101416
CEM.W,412.83519752246684
PSC,53.891252421369245
MAH,140.8808451052064
EBAL,-13.982342280207376
CEM.W,379.67167235532725
PSC,-203.4628895846281
MAH,-310.7385792973064
EBAL,-114.52588371876391
CEM.W,368.02955889804707
PSC,239.9703542279076
MAH,697.7669806303802
EBAL,411.03769396056396
CEM.W,-232.49507294402247
PSC,-534.1164985810865
MAH,-656.3941505894518
EBAL,-418.4887542711176
CEM.W,-297.9453928440371
PSC,905.8674239213224
MAH,629.1826163012574
EBAL,761.8025267734556
CEM.W,928.0244691082889
PSC,223.15228903414027
MAH,337.9048197325628
EBAL,447.12336314137065
CEM.W,599.9848578538604
PSC,851.0253657588255
MAH,910.4583422728265
EBAL,794.7575990394671
CEM.W,90.74574014959398
PSC,-197.85330658729617
MAH,-471.45805673567156
EBAL,-428.40410268761207
CEM.W,-1423.1696388255637
PSC,-712.9923844000305
MAH,-636.6474032674969
EBAL,-603.8629937826008
CEM.W,1071.3203030898749
PSC,54.17571483316624
MAH,164.82579041811732
EBAL,156.36319861905122
CEM.W,-59.49760835087636
PSC,-228.45175596038098
MAH,16.618406944403432
EBAL,-82.90458181847043
CEM.W,63.1066538528803
PSC,179.02720006306936
MAH,-28.181978129377967
EBAL,42.641556696416046
CEM.W,-514.961142920064
PSC,312.7404005005701
MAH,886.4935698974814
EBAL,500.4805772012023
CEM.W,113.8647609102145
PSC,31.58666707048542
MAH,-624.0537937562476
EBAL,-476.15159377090913
CEM.W,-714.0121513339336
PSC,-1109.3478694748792
MAH,-1343.820287877863
EBAL,-1127.9281954043763
CEM.W,35.611655030698785
PSC,537.7041550067943
MAH,735.8843835002244
EBAL,515.8509311872522
CEM.W,-720.3848118894189
PSC,-811.2518146784623
MAH,-599.0347716077813
