sim,method,common_units_share
1,CEM(T),0.9602649006622517
1,CEM(C),0.9800995024875622
1,PSC(C),0.7275985663082437
1,MAH(C),0.7918781725888325
1,GEN(C),0.7365853658536585
2,CEM(T),0.9533333333333334
2,CEM(C),0.9752475247524752
2,PSC(C),0.7106227106227107
2,MAH(C),0.8272251308900523
2,GEN(C),0.803921568627451
3,CEM(T),0.9671052631578947
3,CEM(C),0.9859154929577465
3,PSC(C),0.7071428571428572
3,MAH(C),0.7835051546391752
3,GEN(C),0.8701923076923077
4,CEM(T),0.937888198757764
4,CEM(C),0.9722222222222222
4,PSC(C),0.6840148698884758
4,MAH(C),0.8
4,GEN(C),0.8153846153846154
5,CEM(T),0.9539473684210527
5,CEM(C),0.9656862745098039
5,PSC(C),0.6872727272727273
5,MAH(C),0.7989690721649485
5,GEN(C),0.8118811881188119
6,CEM(T),0.9559748427672956
6,CEM(C),0.9813084112149533
6,PSC(C),0.7352941176470589
6,MAH(C),0.8115183246073299
6,GEN(C),0.9090909090909091
7,CEM(T),0.9426751592356688
7,CEM(C),0.9722222222222222
7,PSC(C),0.6776556776556777
7,MAH(C),0.8177339901477833
7,GEN(C),0.75
8,CEM(T),0.9869281045751634
8,CEM(C),1
8,PSC(C),0.664179104477612
8,MAH(C),0.7889447236180904
8,GEN(C),0.9365853658536586
9,CEM(T),0.9490445859872612
9,CEM(C),0.9681818181818181
9,PSC(C),0.686046511627907
9,MAH(C),0.8275862068965517
9,GEN(C),0.719047619047619
10,CEM(T),0.9622641509433962
10,CEM(C),0.9811320754716981
10,PSC(C),0.732824427480916
10,MAH(C),0.8415841584158416
10,GEN(C),0.7653061224489796
11,CEM(T),0.9490445859872612
11,CEM(C),0.9719626168224299
11,PSC(C),0.7107142857142857
11,MAH(C),0.8090452261306532
11,GEN(C),0.8762376237623762
12,CEM(T),0.9683544303797469
12,CEM(C),0.9808612440191388
12,PSC(C),0.6617100371747212
12,MAH(C),0.8112244897959183
12,GEN(C),0.745
13,CEM(T),0.9487179487179487
13,CEM(C),0.9766355140186916
13,PSC(C),0.7285714285714285
13,MAH(C),0.8082901554404145
13,GEN(C),0.7211538461538461
14,CEM(T),0.9419354838709677
14,CEM(C),0.9678899082568807
14,PSC(C),0.7105263157894737
14,MAH(C),0.7908163265306123
14,GEN(C),0.7314814814814815
15,CEM(T),0.9607843137254902
15,CEM(C),0.9803921568627451
15,PSC(C),0.6704980842911877
15,MAH(C),0.79
15,GEN(C),0.821256038647343
16,CEM(T),0.9411764705882353
16,CEM(C),0.9627906976744186
16,PSC(C),0.7411764705882353
16,MAH(C),0.7755102040816326
16,GEN(C),0.855
17,CEM(T),0.9517241379310345
17,CEM(C),0.98989898989899
17,PSC(C),0.6691729323308271
17,MAH(C),0.8195876288659794
17,GEN(C),0.8292682926829268
18,CEM(T),0.9612903225806452
18,CEM(C),0.9850746268656716
18,PSC(C),0.7058823529411765
18,MAH(C),0.8247422680412371
18,GEN(C),0.7598039215686274
19,CEM(T),0.9375
19,CEM(C),0.963302752293578
19,PSC(C),0.6845878136200717
19,MAH(C),0.7894736842105263
19,GEN(C),0.7846153846153846
20,CEM(T),0.9594594594594594
20,CEM(C),0.9722222222222222
20,PSC(C),0.6642857142857143
20,MAH(C),0.803030303030303
20,GEN(C),0.895
21,CEM(T),0.9259259259259259
21,CEM(C),0.9587155963302753
21,PSC(C),0.7248062015503876
21,MAH(C),0.806930693069307
21,GEN(C),0.788659793814433
22,CEM(T),0.9503105590062112
22,CEM(C),0.9724770642201835
22,PSC(C),0.7348484848484849
22,MAH(C),0.8148148148148148
22,GEN(C),0.8578947368421053
23,CEM(T),0.9671052631578947
23,CEM(C),0.9856459330143541
23,PSC(C),0.7316176470588235
23,MAH(C),0.7969543147208121
23,GEN(C),0.8223350253807107
24,CEM(T),0.9683544303797469
24,CEM(C),0.9906542056074766
24,PSC(C),0.7222222222222222
24,MAH(C),0.7817258883248731
24,GEN(C),0.8118811881188119
25,CEM(T),0.9548387096774194
25,CEM(C),0.9811320754716981
25,PSC(C),0.7142857142857143
25,MAH(C),0.81
25,GEN(C),0.8010204081632653
26,CEM(T),0.9736842105263158
26,CEM(C),0.9767441860465116
26,PSC(C),0.7230215827338129
26,MAH(C),0.8223350253807107
26,GEN(C),0.7912621359223301
27,CEM(T),0.9477124183006536
27,CEM(C),0.9806763285024155
27,PSC(C),0.7464285714285714
27,MAH(C),0.8041237113402062
27,GEN(C),0.8041237113402062
28,CEM(T),0.9685534591194969
28,CEM(C),0.986046511627907
28,PSC(C),0.7214285714285714
28,MAH(C),0.7969543147208121
28,GEN(C),0.7121951219512195
29,CEM(T),0.9533333333333334
29,CEM(C),0.9804878048780488
29,PSC(C),0.7071428571428572
29,MAH(C),0.77
29,GEN(C),0.8571428571428571
30,CEM(T),0.9554140127388535
30,CEM(C),0.9720930232558139
30,PSC(C),0.6945454545454546
30,MAH(C),0.851063829787234
30,GEN(C),0.7788944723618091
31,CEM(T),0.9738562091503268
31,CEM(C),0.9855072463768116
31,PSC(C),0.6917562724014337
31,MAH(C),0.806282722513089
31,GEN(C),0.8652849740932642
32,CEM(T),0.9668874172185431
32,CEM(C),0.9797979797979798
32,PSC(C),0.7192307692307692
32,MAH(C),0.8282828282828283
32,GEN(C),0.7725118483412322
33,CEM(T),0.9554140127388535
33,CEM(C),0.9765258215962441
33,PSC(C),0.6956521739130435
33,MAH(C),0.7971014492753623
33,GEN(C),0.905
34,CEM(T),0.96
34,CEM(C),0.971830985915493
34,PSC(C),0.6942446043165468
34,MAH(C),0.7772277227722773
34,GEN(C),0.8860103626943006
35,CEM(T),0.9308176100628931
35,CEM(C),0.963302752293578
35,PSC(C),0.706959706959707
35,MAH(C),0.8076923076923077
35,GEN(C),0.8774509803921569
36,CEM(T),0.9877300613496932
36,CEM(C),0.9636363636363636
36,PSC(C),0.7078651685393258
36,MAH(C),0.824468085106383
36,GEN(C),0.8009950248756219
37,CEM(T),0.9487179487179487
37,CEM(C),0.981042654028436
37,PSC(C),0.7159090909090909
37,MAH(C),0.7806122448979592
37,GEN(C),0.835820895522388
38,CEM(T),0.9620253164556962
38,CEM(C),0.981042654028436
38,PSC(C),0.6626506024096386
38,MAH(C),0.8442211055276382
38,GEN(C),0.7692307692307693
39,CEM(T),0.9444444444444444
39,CEM(C),0.9765258215962441
39,PSC(C),0.6730769230769231
39,MAH(C),0.8241206030150754
39,GEN(C),0.7653061224489796
40,CEM(T),0.9419354838709677
40,CEM(C),0.9707317073170731
40,PSC(C),0.6985294117647058
40,MAH(C),0.8247422680412371
40,GEN(C),0.8792270531400966
41,CEM(T),0.9738562091503268
41,CEM(C),0.9951923076923077
41,PSC(C),0.7028985507246377
41,MAH(C),0.7783251231527094
41,GEN(C),0.7614213197969543
42,CEM(T),0.948051948051948
42,CEM(C),0.9726027397260274
42,PSC(C),0.7148148148148148
42,MAH(C),0.803030303030303
42,GEN(C),0.8277511961722488
43,CEM(T),0.9620253164556962
43,CEM(C),0.9759615384615384
43,PSC(C),0.7571428571428571
43,MAH(C),0.8391959798994975
43,GEN(C),0.8826530612244898
44,CEM(T),0.9622641509433962
44,CEM(C),0.9905660377358491
44,PSC(C),0.7
44,MAH(C),0.796875
44,GEN(C),0.7914438502673797
45,CEM(T),0.9490445859872612
45,CEM(C),0.9761904761904762
45,PSC(C),0.6833976833976834
45,MAH(C),0.8121827411167513
45,GEN(C),0.7473684210526316
46,CEM(T),0.967741935483871
46,CEM(C),0.990521327014218
46,PSC(C),0.6481481481481481
46,MAH(C),0.8208955223880597
46,GEN(C),0.8071065989847716
47,CEM(T),0.9675324675324676
47,CEM(C),0.9812206572769953
47,PSC(C),0.6704545454545454
47,MAH(C),0.8256410256410256
47,GEN(C),0.7004830917874396
48,CEM(T),0.9548387096774194
48,CEM(C),0.9812206572769953
48,PSC(C),0.7148014440433214
48,MAH(C),0.7857142857142857
48,GEN(C),0.8214285714285714
49,CEM(T),0.9487179487179487
49,CEM(C),0.9761904761904762
49,PSC(C),0.7026022304832714
49,MAH(C),0.8090452261306532
49,GEN(C),0.7623762376237624
50,CEM(T),0.9411764705882353
50,CEM(C),0.981042654028436
50,PSC(C),0.7236363636363636
50,MAH(C),0.8131313131313131
50,GEN(C),0.7676767676767676
51,CEM(T),0.9622641509433962
51,CEM(C),0.9905660377358491
51,PSC(C),0.6879699248120301
51,MAH(C),0.7939698492462312
51,GEN(C),0.7828282828282829
52,CEM(T),0.9620253164556962
52,CEM(C),0.9720930232558139
52,PSC(C),0.6859504132231405
52,MAH(C),0.812807881773399
52,GEN(C),0.8923076923076924
53,CEM(T),0.9551282051282052
53,CEM(C),0.9807692307692307
53,PSC(C),0.7283018867924528
53,MAH(C),0.8020304568527918
53,GEN(C),0.8509615384615384
54,CEM(T),0.9430379746835443
54,CEM(C),0.9814814814814815
54,PSC(C),0.6920152091254753
54,MAH(C),0.7733990147783252
54,GEN(C),0.7766990291262136
55,CEM(T),0.9483870967741935
55,CEM(C),0.9764150943396226
55,PSC(C),0.7116788321167883
55,MAH(C),0.806930693069307
55,GEN(C),0.845771144278607
56,CEM(T),0.9407894736842105
56,CEM(C),0.9800995024875622
56,PSC(C),0.6788321167883211
56,MAH(C),0.8082901554404145
56,GEN(C),0.83
57,CEM(T),0.9483870967741935
57,CEM(C),0.9813953488372092
57,PSC(C),0.6875
57,MAH(C),0.8080808080808081
57,GEN(C),0.8137254901960784
58,CEM(T),0.9426751592356688
58,CEM(C),0.9672897196261683
58,PSC(C),0.6615384615384615
58,MAH(C),0.8223350253807107
58,GEN(C),0.8308457711442786
59,CEM(T),0.9556962025316456
59,CEM(C),0.9761904761904762
59,PSC(C),0.7142857142857143
59,MAH(C),0.7832512315270936
59,GEN(C),0.7040816326530612
60,CEM(T),0.9620253164556962
60,CEM(C),0.9760765550239234
60,PSC(C),0.7392857142857143
60,MAH(C),0.788659793814433
60,GEN(C),0.8426395939086294
61,CEM(T),0.9444444444444444
61,CEM(C),0.9715639810426541
61,PSC(C),0.7537878787878788
61,MAH(C),0.817258883248731
61,GEN(C),0.8284313725490197
62,CEM(T),0.9741935483870968
62,CEM(C),0.9905660377358491
62,PSC(C),0.7201492537313433
62,MAH(C),0.7960199004975125
62,GEN(C),0.848780487804878
63,CEM(T),0.9662162162162162
63,CEM(C),0.975609756097561
63,PSC(C),0.7321428571428571
63,MAH(C),0.7920792079207921
63,GEN(C),0.8324873096446701
64,CEM(T),0.967741935483871
64,CEM(C),0.9906542056074766
64,PSC(C),0.6454183266932271
64,MAH(C),0.8153846153846154
64,GEN(C),0.795
65,CEM(T),0.9490445859872612
65,CEM(C),0.9855072463768116
65,PSC(C),0.7045454545454546
65,MAH(C),0.8072916666666666
65,GEN(C),0.8164251207729468
66,CEM(T),0.98
66,CEM(C),0.981651376146789
