sim,method,att
1,RAW,2727.811077098265
1,MAH,2031.6293098843635
1,PSC,2088.4023524082086
1,GEN,569.6386802862869
1,CEM,916.5336335912325
1,CEM.W,864.5658185725662
2,RAW,1670.8398261054326
2,MAH,2076.1501600411975
2,PSC,1418.5561566070064
2,GEN,1048.4700303259665
2,CEM,1244.9481233655013
2,CEM.W,1108.8452944515532
3,RAW,130.8973468804661
3,MAH,1725.431256838055
3,PSC,2307.748466359873
3,GEN,684.1753239673045
3,CEM,1108.3037238737197
3,CEM.W,976.1753472952712
4,RAW,-123.9118008940477
4,MAH,2273.9805412555525
4,PSC,1998.3764202442244
4,GEN,1547.9872907180086
4,CEM,1130.3948133914878
4,CEM.W,1082.5730813727944
5,RAW,1841.4876098382383
5,MAH,2872.057876440691
5,PSC,2256.979141534536
5,GEN,1315.1921997715174
5,CEM,1039.842426804416
5,CEM.W,1030.6755651999479
6,RAW,241.98778924062754
6,MAH,797.226576898337
6,PSC,383.2288736651699
6,GEN,261.16846620307444
6,CEM,1023.8377229697696
6,CEM.W,963.0061477443612
7,RAW,250.77458656433828
7,MAH,315.69795970188534
7,PSC,1095.367600686286
7,GEN,432.7085023635093
7,CEM,1180.4000579405183
7,CEM.W,1025.203469970961
8,RAW,1013.3992711142791
8,MAH,1396.1488821169187
8,PSC,654.1252236857017
8,GEN,688.4665882234295
8,CEM,1042.261111922311
8,CEM.W,842.0088962471683
9,RAW,2638.9793758947308
9,MAH,2691.0547811133756
9,PSC,2545.1488957164092
9,GEN,1634.53361535187
9,CEM,1099.6501013870898
9,CEM.W,1009.4527394252632
10,RAW,-2524.0710712088016
10,MAH,1521.5494345712364
10,PSC,556.3759930083729
10,GEN,901.0436424074023
10,CEM,1095.8976670152388
10,CEM.W,847.7476486026201
11,RAW,2329.027524059323
11,MAH,2154.622783586169
11,PSC,1551.089252400784
11,GEN,1102.7382339512085
11,CEM,1244.6851312249923
11,CEM.W,1050.110753458933
12,RAW,4205.520475927172
12,MAH,3510.733803199174
12,PSC,2520.0930821390148
12,GEN,1432.2277811196561
12,CEM,1360.1881720558588
12,CEM.W,1249.7373382361209
13,RAW,1322.0591973664223
13,MAH,2342.5899113826576
13,PSC,1559.0683840835518
13,GEN,1376.776653616765
13,CEM,1012.885358570383
13,CEM.W,792.7331585079705
14,RAW,2743.1215306254226
14,MAH,2095.4860492426087
14,PSC,582.1976888025056
14,GEN,163.15902634719552
14,CEM,1315.2397679534172
14,CEM.W,1186.679987552437
15,RAW,1140.7512547901042
15,MAH,2217.317231390929
15,PSC,2863.085285409662
15,GEN,675.0453265718374
15,CEM,1093.7054385056656
15,CEM.W,1065.5057870867495
16,RAW,1800.2821692831385
16,MAH,422.35787683055423
16,PSC,-113.90335470406444
16,GEN,847.9690864194729
16,CEM,1340.3355060909564
16,CEM.W,1150.1402569522327
17,RAW,-1328.0450745430844
17,MAH,1450.1610170332888
17,PSC,211.4560070830421
17,GEN,864.7266288070269
17,CEM,1185.6964067591036
17,CEM.W,1051.3523427053701
18,RAW,1234.3351034886728
18,MAH,2119.288999442353
18,PSC,1461.731810471546
18,GEN,638.9072948652608
18,CEM,987.1148460023671
18,CEM.W,935.6671468248117
19,RAW,-463.82081033330815
19,MAH,866.1387120858462
19,PSC,457.56600022556904
19,GEN,743.2854327610245
19,CEM,1223.4365144951873
19,CEM.W,1135.0860791470545
20,RAW,1406.4941369661283
20,MAH,1868.9974916026495
20,PSC,240.03889272316064
20,GEN,1729.5756704632092
20,CEM,1236.277917567761
20,CEM.W,1042.7096894480046
21,RAW,2587.167712202452
21,MAH,2623.1266788149333
21,PSC,1401.264011097619
21,GEN,1237.9881473461019
21,CEM,1204.096783286103
21,CEM.W,864.7446550297044
22,RAW,-719.0503093359102
22,MAH,360.44635869901595
22,PSC,-1121.840600341452
22,GEN,640.8391027660243
22,CEM,1212.038224722818
22,CEM.W,992.3970322360099
23,RAW,1146.5318284864497
23,MAH,2068.1487809519867
23,PSC,2191.2826122376327
23,GEN,891.1443862483168
23,CEM,1189.5224953670427
23,CEM.W,1057.8899881381956
24,RAW,-2053.38038766283
24,MAH,863.6902246210548
24,PSC,1873.3032593941125
24,GEN,496.3030028178061
24,CEM,1286.324987104797
24,CEM.W,1153.0292074316706
25,RAW,-933.4695519064171
25,MAH,2319.660422824708
25,PSC,-207.2583141965688
25,GEN,1241.0153440636952
25,CEM,1303.1820501746397
25,CEM.W,1002.9371738956565
26,RAW,1258.5586566645952
26,MAH,1041.8238103501471
26,PSC,1699.3879355273993
26,GEN,1190.3969463292065
26,CEM,1052.238214451445
26,CEM.W,1026.851621197599
27,RAW,208.12503925464807
27,MAH,828.337985649332
27,PSC,-818.3109272928996
27,GEN,621.93515467520206
27,CEM,1248.2664884766452
27,CEM.W,1057.8463442001791
28,RAW,-391.1444195988297
28,MAH,802.6929968374752
28,PSC,434.30815512894696
28,GEN,619.1210880353042
28,CEM,1135.4310887147963
28,CEM.W,1082.1147484705475
29,RAW,2332.5553165981846
29,MAH,2204.5880359252933
29,PSC,2212.2760103681394
29,GEN,652.0172828355533
29,CEM,1369.899793074746
29,CEM.W,1138.5521477693478
30,RAW,-683.6076037334296
30,MAH,1114.7697860029175
30,PSC,450.8309497814671
30,GEN,1509.9881240975399
30,CEM,1361.4197839122103
30,CEM.W,903.7364293581657
31,RAW,1338.8182268163737
31,MAH,1317.0176880281042
31,PSC,1342.3817825373844
31,GEN,1769.6565358379528
31,CEM,1349.5023271570196
31,CEM.W,1113.714854091615
32,RAW,615.4231695789267
32,MAH,2455.798993771988
32,PSC,2010.5989941505613
32,GEN,1745.5224479460323
32,CEM,1311.521307271884
32,CEM.W,1114.651184995266
33,RAW,-561.4797291535087
33,MAH,1993.5380918539486
33,PSC,1225.8047188234127
33,GEN,1614.2910406927404
33,CEM,877.0961472984773
33,CEM.W,827.6712816723262
34,RAW,1088.9556091720488
34,MAH,1438.0941145966908
34,PSC,641.4242420876008
34,GEN,778.36634874669
34,CEM,1242.029721039843
34,CEM.W,931.129000978465
35,RAW,607.4176450004688
35,MAH,2357.5813304548633
35,PSC,861.1988526491541
35,GEN,794.86591432985006
35,CEM,1123.510484740611
35,CEM.W,1056.9774539273103
36,RAW,2502.146918501787
36,MAH,3113.1109031118494
36,PSC,628.6285059977945
36,GEN,1162.2371865888838
36,CEM,1261.7818471282358
36,CEM.W,1098.5238347473241
37,RAW,2673.894541199731
37,MAH,2547.855798992756
37,PSC,516.4886211008252
37,GEN,550.8895023770244
37,CEM,1296.1147675207783
37,CEM.W,1187.2188813083872
38,RAW,3960.440872426258
38,MAH,3566.4642617110985
38,PSC,2845.8736292746944
38,GEN,2169.6347473570363
38,CEM,957.9108411452894
38,CEM.W,1016.2870214539615
39,RAW,-284.98943241718007
39,MAH,1704.0407443203385
39,PSC,2161.0570843016044
39,GEN,904.3415317936547
39,CEM,1311.8722076169922
39,CEM.W,1034.4733763769095
40,RAW,-982.1124143690658
40,MAH,2049.7465282688904
40,PSC,1343.5468756887562
40,GEN,1150.816792342454
40,CEM,1200.178090381958
40,CEM.W,1018.8089583509201
41,RAW,2371.438210365055
41,MAH,1840.3341528162382
41,PSC,663.8827710307532
41,GEN,1210.2463996860215
41,CEM,1219.4271213421725
41,CEM.W,999.5496561285116
42,RAW,-1688.5220249463937
42,MAH,1921.8721381441705
42,PSC,-360.93626294946716
42,GEN,502.66771005000993
42,CEM,1245.6009744638013
42,CEM.W,1143.3692573898613
43,RAW,3290.370779902656
43,MAH,2311.2950082775897
43,PSC,26.610422186361575
43,GEN,957.6720049997348
43,CEM,1181.6143856191168
43,CEM.W,1098.669969529253
44,RAW,2179.592663094806
44,MAH,2298.770799316577
44,PSC,1981.1737845193302
44,GEN,1137.5797104653927
44,CEM,991.2186164318108
44,CEM.W,869.0822355980987
45,RAW,1809.8897443210353
45,MAH,2659.7933717921305
45,PSC,2039.0316530779328
45,GEN,1740.3326219419998
45,CEM,1139.6910060396451
45,CEM.W,827.8577290159818
46,RAW,-156.04042362069868
46,MAH,1327.068300647783
46,PSC,-304.16993691856896
46,GEN,1038.3640005314164
46,CEM,1417.5954938074015
46,CEM.W,1135.1681060102212
47,RAW,-1294.011374833034
47,MAH,1131.3055329296458
47,PSC,1040.6729953780268
47,GEN,581.6064887789828
47,CEM,1061.0087364587573
47,CEM.W,983.5783746261712
48,RAW,537.0594175869219
48,MAH,1514.274060655399
48,PSC,1370.7806371808692
48,GEN,940.6564364555816
48,CEM,1133.1936217206649
48,CEM.W,863.665331440131
49,RAW,702.9283938211702
49,MAH,2071.188488543622
49,PSC,539.1395797812711
49,GEN,1601.2301168729234
49,CEM,1077.3802345563006
49,CEM.W,894.1873844968188
50,RAW,-682.7692265137357
50,MAH,2063.493553966042
50,PSC,2481.8911470776975
50,GEN,693.3496836607245
50,CEM,988.1757318315149
50,CEM.W,952.3408278029322
51,RAW,-946.1910501153852
51,MAH,1397.9763314677239
51,PSC,809.8790052588301
51,GEN,816.8558711564352
