sim,method,l1
1,RAW,0.6530084902177925
1,MAH,0.548611111111111
1,PSC,0.611111111111111
1,GEN,0.5468625099920064
1,CEM,0.3634387172751155
2,RAW,0.6605423757950833
2,MAH,0.5535714285714285
2,PSC,0.6369047619047619
2,GEN,0.5670426065162907
2,CEM,0.40653357531760437
3,RAW,0.6309905638451169
3,MAH,0.528169014084507
3,PSC,0.5633802816901409
3,GEN,0.5419641134478101
3,CEM,0.37516339869281046
4,RAW,0.6727617221385198
4,MAH,0.5578231292517006
4,PSC,0.6462585034013605
4,GEN,0.5444207533759773
4,CEM,0.4191681137848342
5,RAW,0.6595914095914096
5,MAH,0.5472972972972974
5,PSC,0.6486486486486487
5,GEN,0.5584342963653308
5,CEM,0.37602599179206564
6,RAW,0.6109469412958144
6,MAH,0.5443037974683544
6,PSC,0.6012658227848101
6,GEN,0.5661844484629295
6,CEM,0.33791866028708134
7,RAW,0.6522484138378178
7,MAH,0.5524475524475525
7,PSC,0.6083916083916084
7,GEN,0.5600233100233101
7,CEM,0.4020061728395062
8,RAW,0.6303525286083426
8,MAH,0.5069444444444444
8,PSC,0.5972222222222222
8,GEN,0.5194160997732427
8,CEM,0.34844771241830064
9,RAW,0.6299655360058045
9,MAH,0.5167785234899329
9,PSC,0.5973154362416108
9,GEN,0.5429439506620715
9,CEM,0.37476072314781994
10,RAW,0.6457448690728945
10,MAH,0.5159235668789809
10,PSC,0.6178343949044587
10,GEN,0.5754447616955853
10,CEM,0.4496212121212121
11,RAW,0.6249836408847009
11,MAH,0.5617283950617283
11,PSC,0.6234567901234568
11,GEN,0.5669694852084789
11,CEM,0.3588386921720255
12,RAW,0.6689356736519667
12,MAH,0.5114503816793893
12,PSC,0.648854961832061
12,GEN,0.5419847328244275
12,CEM,0.40114379084967317
13,RAW,0.661652788969469
13,MAH,0.5816993464052288
13,PSC,0.6209150326797386
13,GEN,0.5877896613190731
13,CEM,0.4262995896032832
14,RAW,0.6388090533500987
14,MAH,0.5394736842105263
14,PSC,0.6513157894736842
14,GEN,0.541106415674222
14,CEM,0.35694444444444445
15,RAW,0.611517208371405
15,MAH,0.5030674846625767
15,PSC,0.5828220858895705
15,GEN,0.5230271451382469
15,CEM,0.3358795285901353
16,RAW,0.660033989519898
16,MAH,0.5
16,PSC,0.6159420289855072
16,GEN,0.569047619047619
16,CEM,0.3869628024557602
17,RAW,0.6271412680756396
17,MAH,0.5225806451612903
17,PSC,0.6064516129032258
17,GEN,0.5435047951176983
17,CEM,0.3714121699196326
18,RAW,0.6197607424022519
18,MAH,0.5471698113207547
18,PSC,0.6352201257861636
18,GEN,0.6062736825657252
18,CEM,0.368785486774685
19,RAW,0.6422779126769597
19,MAH,0.5342465753424657
19,PSC,0.595890410958904
19,GEN,0.5542276806802078
19,CEM,0.3949843260188088
20,RAW,0.6641150819982937
20,MAH,0.5766423357664233
20,PSC,0.656934306569343
20,GEN,0.6125979994593134
20,CEM,0.3944633317144245
21,RAW,0.6317093896048719
