sim,method,seconds
1,MAH,0.020999999999999908
1,PSC,0.016000000000000014
1,GEN,25.335
1,CEM,0.19500000000000006
2,MAH,0.018000000000000682
2,PSC,0.015000000000000568
2,GEN,18.657
2,CEM,0.21099999999999852
3,MAH,0.017000000000003013
3,PSC,0.015999999999998238
3,GEN,12.286999999999999
3,CEM,0.2149999999999963
4,MAH,0.016000000000005343
4,PSC,0.014000000000002899
4,GEN,16.906999999999996
4,CEM,0.20000000000000284
5,MAH,0.016999999999995907
5,PSC,0.016000000000005343
5,GEN,28.697000000000003
5,CEM,0.20100000000000762
6,MAH,0.018000000000000682
6,PSC,0.016999999999995907
6,GEN,26.240999999999985
6,CEM,0.23000000000000398
7,MAH,0.016999999999995907
7,PSC,0.016000000000019554
7,GEN,10.855999999999995
7,CEM,0.23900000000000432
8,MAH,0.016999999999995907
8,PSC,0.016999999999995907
8,GEN,25.585999999999984
8,CEM,0.2370000000000232
9,MAH,0.019000000000005457
9,PSC,0.01700000000002433
9,GEN,28.87299999999999
9,CEM,0.24399999999999977
10,MAH,0.020999999999986585
10,PSC,0.018000000000000682
10,GEN,20.87099999999998
10,CEM,0.2669999999999959
11,MAH,0.036000000000001364
11,PSC,0.020999999999986585
11,GEN,26.600000000000023
11,CEM,0.30699999999998795
12,MAH,0.02200000000001978
12,PSC,0.019000000000005457
12,GEN,10.890999999999991
12,CEM,0.35599999999999454
13,MAH,0.025999999999953616
13,PSC,0.022000000000048203
13,GEN,24.641999999999996
13,CEM,0.34899999999998954
14,MAH,0.025000000000034106
14,PSC,0.020000000000038654
14,GEN,23.317000000000007
14,CEM,0.29899999999997817
15,MAH,0.026999999999986812
15,PSC,0.02600000000001046
15,GEN,27.382000000000005
15,CEM,0.29899999999997817
16,MAH,0.02199999999999136
16,PSC,0.025000000000034106
16,GEN,24.170000000000016
16,CEM,0.353999999999985
17,MAH,0.029999999999972715
17,PSC,0.026000000000067303
17,GEN,52.76999999999998
17,CEM,0.34799999999995634
18,MAH,0.029999999999972715
18,PSC,0.024999999999977263
18,GEN,40.960000000000036
18,CEM,0.36099999999999
19,MAH,0.028999999999996362
19,PSC,0.02600000000001046
19,GEN,24.58699999999999
19,CEM,0.35700000000002774
20,MAH,0.027000000000043656
20,PSC,0.02400000000000091
20,GEN,16.119000000000028
20,CEM,0.3310000000000173
21,MAH,0.026999999999986812
21,PSC,0.024999999999977263
21,GEN,30.593000000000018
21,CEM,0.34799999999995634
22,MAH,0.028999999999996362
22,PSC,0.026000000000067303
22,GEN,21.687999999999988
22,CEM,0.31300000000010186
23,MAH,0.028999999999996362
23,PSC,0.02699999999992997
23,GEN,21.08299999999997
23,CEM,0.3449999999999136
24,MAH,0.029999999999972715
24,PSC,0.024999999999977263
24,GEN,20.882999999999925
24,CEM,0.3630000000000564
25,MAH,0.02800000000002001
25,PSC,0.02400000000000091
25,GEN,26
25,CEM,0.3530000000000655
26,MAH,0.028999999999996362
26,PSC,0.024999999999977263
26,GEN,31.672000000000025
26,CEM,0.3269999999999982
27,MAH,0.027999999999906322
27,PSC,0.02400000000000091
27,GEN,25.565000000000055
27,CEM,0.36099999999999
28,MAH,0.06100000000003547
28,PSC,0.05400000000008731
28,GEN,17.961000000000013
28,CEM,0.44500000000005
29,MAH,0.028999999999996362
29,PSC,0.025999999999953616
29,GEN,23.413999999999987
29,CEM,0.36200000000008004
30,MAH,0.02800000000002001
30,PSC,0.024999999999977263
30,GEN,48.74400000000003
30,CEM,0.33199999999999363
31,MAH,0.02299999999991087
31,PSC,0.024000000000114596
31,GEN,11.553999999999974
31,CEM,0.3310000000000173
32,MAH,0.02699999999992997
32,PSC,0.024999999999977263
32,GEN,16.577999999999975
32,CEM,0.34699999999998
33,MAH,0.024999999999977263
33,PSC,0.024999999999977263
33,GEN,16.548999999999978
33,CEM,0.33399999999994634
34,MAH,0.03200000000003911
34,PSC,0.021999999999934516
34,GEN,23.176000000000045
34,CEM,0.3790000000000191
35,MAH,0.03099999999994907
35,PSC,0.024999999999977263
35,GEN,34.164999999999964
35,CEM,0.38400000000001455
36,MAH,0.029999999999972715
36,PSC,0.023000000000024556
36,GEN,26.187999999999988
36,CEM,0.31100000000003547
37,MAH,0.031000000000062755
37,PSC,0.026000000000067303
37,GEN,34.644000000000005
37,CEM,0.3129999999999882
38,MAH,0.03300000000001546
38,PSC,0.02400000000000091
38,GEN,24.94500000000005
38,CEM,0.3100000000000591
39,MAH,0.02400000000000091
39,PSC,0.01999999999998181
39,GEN,41.20700000000011
39,CEM,0.31300000000010186
40,MAH,0.03099999999994907
40,PSC,0.021000000000185537
40,GEN,18.891000000000076
40,CEM,0.30999999999994543
41,MAH,0.024000000000114596
41,PSC,0.023999999999887223
41,GEN,17.44399999999996
41,CEM,0.30300000000011096
42,MAH,0.032999999999901775
42,PSC,0.026000000000067303
42,GEN,17.434999999999945
42,CEM,0.38800000000014734
43,MAH,0.028999999999996362
43,PSC,0.020999999999958163
43,GEN,16.288999999999987
43,CEM,0.3109999999999218
44,MAH,0.026000000000067303
44,PSC,0.021999999999934516
44,GEN,14.037000000000035
44,CEM,0.3289999999999509
45,MAH,0.02500000000009095
45,PSC,0.02500000000009095
45,GEN,20.220000000000027
45,CEM,0.33799999999996544
46,MAH,0.02599999999983993
46,PSC,0.021999999999934516
46,GEN,31.147000000000162
46,CEM,0.3350000000000364
47,MAH,0.028999999999996362
47,PSC,0.020999999999958163
47,GEN,43.61999999999989
47,CEM,0.3040000000000873
48,MAH,0.023000000000138243
48,PSC,0.02200000000016189
48,GEN,18.476000000000113
48,CEM,0.31900000000018736
49,MAH,0.026000000000067303
49,PSC,0.021999999999934516
49,GEN,14.504000000000133
49,CEM,0.30600000000004
50,MAH,0.02500000000009095
50,PSC,0.024999999999863576
50,GEN,19.00799999999981
50,CEM,0.29099999999994
51,MAH,0.026000000000067303
51,PSC,0.021999999999934516
51,GEN,12.373000000000047
51,CEM,0.34699999999998
52,MAH,0.03399999999987813
52,PSC,0.029000000000223736
52,GEN,34.363000000000056
52,CEM,0.3330000000000837
53,MAH,0.03099999999994907
53,PSC,0.02800000000002001
53,GEN,20.39799999999991
53,CEM,0.3930000000000291
54,MAH,0.02500000000009095
54,PSC,0.021999999999934516
54,GEN,16.513999999999896
54,CEM,0.3220000000001164
55,MAH,0.027000000000043656
55,PSC,0.021999999999934516
55,GEN,44.78099999999995
55,CEM,0.3100000000001728
56,MAH,0.024999999999863576
56,PSC,0.020999999999958163
56,GEN,20.673999999999978
56,CEM,0.28599999999983083
57,MAH,0.02299999999991087
57,PSC,0.02099999999973079
57,GEN,31.586000000000013
57,CEM,0.32999999999992724
58,MAH,0.02299999999991087
58,PSC,0.01999999999998181
58,GEN,14.952999999999975
58,CEM,0.26900000000000546
59,MAH,0.024000000000114596
59,PSC,0.018999999999778083
59,GEN,24.805000000000064
59,CEM,0.28099999999994907
60,MAH,0.01999999999998181
60,PSC,0.02099999999973079
60,GEN,21.89800000000014
60,CEM,0.25499999999988177
61,MAH,0.020999999999958163
61,PSC,0.02200000000016189
61,GEN,19.277000000000044
61,CEM,0.26700000000005275
62,MAH,0.024000000000114596
62,PSC,0.019000000000005457
62,GEN,15.577999999999975
62,CEM,0.2739999999998872
63,MAH,0.024000000000114596
63,PSC,0.018999999999778083
63,GEN,7.718000000000075
63,CEM,0.2739999999998872
64,MAH,0.02200000000016189
64,PSC,0.01900000000023283
64,GEN,28.03800000000001
64,CEM,0.26099999999996726
65,MAH,0.021999999999934516
65,PSC,0.018999999999778083
65,GEN,10.430999999999813
65,CEM,0.2599999999999909
66,MAH,0.023000000000138243
66,PSC,0.018999999999778083
66,GEN,18.822999999999865
66,CEM,0.24900000000002365
67,MAH,0.02299999999991087
67,PSC,0.02299999999991087
67,GEN,15.661000000000058
67,CEM,0.2820000000001528
68,MAH,0.02200000000016189
68,PSC,0.01999999999998181
68,GEN,15.594000000000051
68,CEM,0.2640000000001237
69,MAH,0.021999999999934516
69,PSC,0.019000000000005457
69,GEN,21.902000000000044
69,CEM,0.2640000000001237
70,MAH,0.020999999999958163
70,PSC,0.019000000000005457
70,GEN,31.205000000000155
70,CEM,0.30199999999990723
71,MAH,0.020999999999958163
71,PSC,0.01799999999980173
71,GEN,25.180000000000064
71,CEM,0.2660000000000764
72,MAH,0.021999999999934516
72,PSC,0.019000000000005457
72,GEN,19.577999999999975
72,CEM,0.2719999999999345
73,MAH,0.01999999999998181
73,PSC,0.018000000000029104
73,GEN,17.036000000000058
73,CEM,0.265999999999849
74,MAH,0.02200000000016189
74,PSC,0.01900000000023283
74,GEN,19.426999999999907
74,CEM,0.27800000000002
75,MAH,0.032000000000152795
75,PSC,0.02500000000009095
75,GEN,23.957999999999856
75,CEM,0.37799999999992906
76,MAH,0.03099999999994907
76,PSC,0.023999999999887223
76,GEN,17.776000000000067
76,CEM,0.3369999999999891
77,MAH,0.01999999999998181
77,PSC,0.01900000000023283
77,GEN,17.495999999999867
77,CEM,0.2619999999999436
78,MAH,0.01999999999998181
78,PSC,0.018000000000029104
78,GEN,20.769000000000005
78,CEM,0.2580000000000382
79,MAH,0.021999999999934516
79,PSC,0.01900000000023283
79,GEN,18.730999999999995
