sim,key,n,method,group
1,RAW(nt),144,RAW,treated
1,RAW(nc),301,RAW,control
1,MAH(nt),144,MAH,treated
1,MAH(nc),144,MAH,control
1,PSC(nt),144,PSC,treated
1,PSC(nc),144,PSC,control
1,GEN(nt),144,GEN,treated
1,GEN(nc),139,GEN,control
1,CEM(nt),83,CEM,treated
1,CEM(nc),133,CEM,control
2,RAW(nt),168,RAW,treated
2,RAW(nc),277,RAW,control
2,MAH(nt),168,MAH,treated
2,MAH(nc),168,MAH,control
2,PSC(nt),168,PSC,treated
2,PSC(nc),168,PSC,control
2,GEN(nt),168,GEN,treated
2,GEN(nc),152,GEN,control
2,CEM(nt),95,CEM,treated
2,CEM(nc),145,CEM,control
3,RAW(nt),142,RAW,treated
3,RAW(nc),303,RAW,control
3,MAH(nt),142,MAH,treated
3,MAH(nc),142,MAH,control
3,PSC(nt),142,PSC,treated
3,PSC(nc),142,PSC,control
3,GEN(nt),142,GEN,treated
3,GEN(nc),146,GEN,control
3,CEM(nt),90,CEM,treated
3,CEM(nc),153,CEM,control
4,RAW(nt),147,RAW,treated
4,RAW(nc),298,RAW,control
4,MAH(nt),147,MAH,treated
4,MAH(nc),147,MAH,control
4,PSC(nt),147,PSC,treated
4,PSC(nc),147,PSC,control
4,GEN(nt),147,GEN,treated
4,GEN(nc),134,GEN,control
4,CEM(nt),87,CEM,treated
4,CEM(nc),139,CEM,control
5,RAW(nt),148,RAW,treated
5,RAW(nc),297,RAW,control
5,MAH(nt),148,MAH,treated
5,MAH(nc),148,MAH,control
5,PSC(nt),148,PSC,treated
5,PSC(nc),148,PSC,control
5,GEN(nt),148,GEN,treated
5,GEN(nc),145,GEN,control
5,CEM(nt),86,CEM,treated
5,CEM(nc),136,CEM,control
6,RAW(nt),158,RAW,treated
6,RAW(nc),287,RAW,control
6,MAH(nt),158,MAH,treated
6,MAH(nc),158,MAH,control
6,PSC(nt),158,PSC,treated
6,PSC(nc),158,PSC,control
6,GEN(nt),158,GEN,treated
6,GEN(nc),140,GEN,control
6,CEM(nt),88,CEM,treated
6,CEM(nc),152,CEM,control
7,RAW(nt),143,RAW,treated
7,RAW(nc),302,RAW,control
7,MAH(nt),143,MAH,treated
7,MAH(nc),143,MAH,control
7,PSC(nt),143,PSC,treated
7,PSC(nc),143,PSC,control
7,GEN(nt),143,GEN,treated
7,GEN(nc),132,GEN,control
7,CEM(nt),81,CEM,treated
7,CEM(nc),144,CEM,control
8,RAW(nt),144,RAW,treated
8,RAW(nc),301,RAW,control
8,MAH(nt),144,MAH,treated
8,MAH(nc),144,MAH,control
8,PSC(nt),144,PSC,treated
8,PSC(nc),144,PSC,control
8,GEN(nt),144,GEN,treated
8,GEN(nc),147,GEN,control
8,CEM(nt),85,CEM,treated
8,CEM(nc),144,CEM,control
9,RAW(nt),149,RAW,treated
9,RAW(nc),296,RAW,control
9,MAH(nt),149,MAH,treated
9,MAH(nc),149,MAH,control
9,PSC(nt),149,PSC,treated
9,PSC(nc),149,PSC,control
9,GEN(nt),149,GEN,treated
9,GEN(nc),148,GEN,control
9,CEM(nt),91,CEM,treated
9,CEM(nc),155,CEM,control
10,RAW(nt),157,RAW,treated
10,RAW(nc),288,RAW,control
10,MAH(nt),157,MAH,treated
10,MAH(nc),157,MAH,control
10,PSC(nt),157,PSC,treated
10,PSC(nc),157,PSC,control
10,GEN(nt),157,GEN,treated
10,GEN(nc),145,GEN,control
10,CEM(nt),96,CEM,treated
10,CEM(nc),165,CEM,control
11,RAW(nt),162,RAW,treated
11,RAW(nc),283,RAW,control
11,MAH(nt),162,MAH,treated
11,MAH(nc),162,MAH,control
11,PSC(nt),162,PSC,treated
11,PSC(nc),162,PSC,control
11,GEN(nt),162,GEN,treated
11,GEN(nc),159,GEN,control
11,CEM(nt),91,CEM,treated
11,CEM(nc),162,CEM,control
12,RAW(nt),131,RAW,treated
12,RAW(nc),314,RAW,control
12,MAH(nt),131,MAH,treated
12,MAH(nc),131,MAH,control
12,PSC(nt),131,PSC,treated
12,PSC(nc),131,PSC,control
12,GEN(nt),131,GEN,treated
12,GEN(nc),131,GEN,control
12,CEM(nt),72,CEM,treated
12,CEM(nc),153,CEM,control
13,RAW(nt),153,RAW,treated
13,RAW(nc),292,RAW,control
13,MAH(nt),153,MAH,treated
13,MAH(nc),153,MAH,control
13,PSC(nt),153,PSC,treated
13,PSC(nc),153,PSC,control
13,GEN(nt),153,GEN,treated
13,GEN(nc),132,GEN,control
13,CEM(nt),86,CEM,treated
13,CEM(nc),136,CEM,control
14,RAW(nt),152,RAW,treated
14,RAW(nc),293,RAW,control
14,MAH(nt),152,MAH,treated
14,MAH(nc),152,MAH,control
14,PSC(nt),152,PSC,treated
14,PSC(nc),152,PSC,control
14,GEN(nt),152,GEN,treated
14,GEN(nc),137,GEN,control
14,CEM(nt),80,CEM,treated
14,CEM(nc),144,CEM,control
15,RAW(nt),163,RAW,treated
15,RAW(nc),282,RAW,control
15,MAH(nt),163,MAH,treated
15,MAH(nc),163,MAH,control
15,PSC(nt),163,PSC,treated
15,PSC(nc),163,PSC,control
15,GEN(nt),163,GEN,treated
15,GEN(nc),146,GEN,control
15,CEM(nt),87,CEM,treated
15,CEM(nc),158,CEM,control
16,RAW(nt),138,RAW,treated
16,RAW(nc),307,RAW,control
16,MAH(nt),138,MAH,treated
16,MAH(nc),138,MAH,control
16,PSC(nt),138,PSC,treated
16,PSC(nc),138,PSC,control
16,GEN(nt),138,GEN,treated
16,GEN(nc),140,GEN,control
16,CEM(nt),78,CEM,treated
16,CEM(nc),142,CEM,control
17,RAW(nt),155,RAW,treated
17,RAW(nc),290,RAW,control
17,MAH(nt),155,MAH,treated
17,MAH(nc),155,MAH,control
17,PSC(nt),155,PSC,treated
17,PSC(nc),155,PSC,control
17,GEN(nt),155,GEN,treated
17,GEN(nc),148,GEN,control
17,CEM(nt),91,CEM,treated
17,CEM(nc),134,CEM,control
18,RAW(nt),159,RAW,treated
18,RAW(nc),286,RAW,control
18,MAH(nt),159,MAH,treated
18,MAH(nc),159,MAH,control
18,PSC(nt),159,PSC,treated
18,PSC(nc),159,PSC,control
18,GEN(nt),159,GEN,treated
18,GEN(nc),161,GEN,control
18,CEM(nt),87,CEM,treated
18,CEM(nc),166,CEM,control
19,RAW(nt),146,RAW,treated
19,RAW(nc),299,RAW,control
19,MAH(nt),146,MAH,treated
19,MAH(nc),146,MAH,control
19,PSC(nt),146,PSC,treated
19,PSC(nc),146,PSC,control
19,GEN(nt),146,GEN,treated
19,GEN(nc),145,GEN,control
19,CEM(nt),87,CEM,treated
19,CEM(nc),165,CEM,control
20,RAW(nt),137,RAW,treated
20,RAW(nc),308,RAW,control
20,MAH(nt),137,MAH,treated
20,MAH(nc),137,MAH,control
20,PSC(nt),137,PSC,treated
20,PSC(nc),137,PSC,control
20,GEN(nt),137,GEN,treated
20,GEN(nc),135,GEN,control
20,CEM(nt),71,CEM,treated
20,CEM(nc),145,CEM,control
21,RAW(nt),138,RAW,treated
21,RAW(nc),307,RAW,control
21,MAH(nt),138,MAH,treated
21,MAH(nc),138,MAH,control
21,PSC(nt),138,PSC,treated
21,PSC(nc),138,PSC,control
21,GEN(nt),138,GEN,treated
21,GEN(nc),140,GEN,control
21,CEM(nt),77,CEM,treated
21,CEM(nc),156,CEM,control
22,RAW(nt),151,RAW,treated
22,RAW(nc),294,RAW,control
22,MAH(nt),151,MAH,treated
22,MAH(nc),151,MAH,control
22,PSC(nt),151,PSC,treated
22,PSC(nc),151,PSC,control
22,GEN(nt),151,GEN,treated
22,GEN(nc),140,GEN,control
22,CEM(nt),71,CEM,treated
22,CEM(nc),137,CEM,control
23,RAW(nt),155,RAW,treated
23,RAW(nc),290,RAW,control
23,MAH(nt),155,MAH,treated
23,MAH(nc),155,MAH,control
23,PSC(nt),155,PSC,treated
23,PSC(nc),155,PSC,control
23,GEN(nt),155,GEN,treated
23,GEN(nc),154,GEN,control
23,CEM(nt),95,CEM,treated
23,CEM(nc),141,CEM,control
24,RAW(nt),159,RAW,treated
24,RAW(nc),286,RAW,control
24,MAH(nt),159,MAH,treated
24,MAH(nc),159,MAH,control
24,PSC(nt),159,PSC,treated
24,PSC(nc),159,PSC,control
24,GEN(nt),159,GEN,treated
24,GEN(nc),155,GEN,control
24,CEM(nt),93,CEM,treated
24,CEM(nc),157,CEM,control
25,RAW(nt),145,RAW,treated
25,RAW(nc),300,RAW,control
25,MAH(nt),145,MAH,treated
25,MAH(nc),145,MAH,control
25,PSC(nt),145,PSC,treated
25,PSC(nc),145,PSC,control
25,GEN(nt),145,GEN,treated
25,GEN(nc),145,GEN,control
25,CEM(nt),90,CEM,treated
25,CEM(nc),160,CEM,control
26,RAW(nt),153,RAW,treated
26,RAW(nc),292,RAW,control
26,MAH(nt),153,MAH,treated
26,MAH(nc),153,MAH,control
26,PSC(nt),153,PSC,treated
26,PSC(nc),153,PSC,control
26,GEN(nt),153,GEN,treated
26,GEN(nc),127,GEN,control
26,CEM(nt),85,CEM,treated
26,CEM(nc),139,CEM,control
27,RAW(nt),139,RAW,treated
27,RAW(nc),306,RAW,control
27,MAH(nt),139,MAH,treated
27,MAH(nc),139,MAH,control
27,PSC(nt),139,PSC,treated
27,PSC(nc),139,PSC,control
27,GEN(nt),139,GEN,treated
27,GEN(nc),150,GEN,control
27,CEM(nt),80,CEM,treated
27,CEM(nc),165,CEM,control
28,RAW(nt),168,RAW,treated
28,RAW(nc),277,RAW,control
28,MAH(nt),168,MAH,treated
28,MAH(nc),168,MAH,control
28,PSC(nt),168,PSC,treated
28,PSC(nc),168,PSC,control
28,GEN(nt),168,GEN,treated
28,GEN(nc),140,GEN,control
28,CEM(nt),96,CEM,treated
28,CEM(nc),150,CEM,control
29,RAW(nt),151,RAW,treated
29,RAW(nc),294,RAW,control
29,MAH(nt),151,MAH,treated
29,MAH(nc),151,MAH,control
29,PSC(nt),151,PSC,treated
29,PSC(nc),151,PSC,control
29,GEN(nt),151,GEN,treated
29,GEN(nc),153,GEN,control
29,CEM(nt),85,CEM,treated
29,CEM(nc),159,CEM,control
30,RAW(nt),143,RAW,treated
30,RAW(nc),302,RAW,control
30,MAH(nt),143,MAH,treated
30,MAH(nc),143,MAH,control
30,PSC(nt),143,PSC,treated
30,PSC(nc),143,PSC,control
30,GEN(nt),143,GEN,treated
30,GEN(nc),140,GEN,control
30,CEM(nt),79,CEM,treated
30,CEM(nc),155,CEM,control
31,RAW(nt),135,RAW,treated
31,RAW(nc),310,RAW,control
31,MAH(nt),135,MAH,treated
31,MAH(nc),135,MAH,control
31,PSC(nt),135,PSC,treated
31,PSC(nc),135,PSC,control
31,GEN(nt),135,GEN,treated
31,GEN(nc),139,GEN,control
31,CEM(nt),72,CEM,treated
31,CEM(nc),144,CEM,control
32,RAW(nt),144,RAW,treated
32,RAW(nc),301,RAW,control
32,MAH(nt),144,MAH,treated
32,MAH(nc),144,MAH,control
32,PSC(nt),144,PSC,treated
32,PSC(nc),144,PSC,control
32,GEN(nt),144,GEN,treated
32,GEN(nc),137,GEN,control
32,CEM(nt),81,CEM,treated
32,CEM(nc),155,CEM,control
33,RAW(nt),149,RAW,treated
33,RAW(nc),296,RAW,control
33,MAH(nt),149,MAH,treated
33,MAH(nc),149,MAH,control
33,PSC(nt),149,PSC,treated
33,PSC(nc),149,PSC,control
33,GEN(nt),149,GEN,treated
33,GEN(nc),150,GEN,control
33,CEM(nt),98,CEM,treated
33,CEM(nc),143,CEM,control
34,RAW(nt),153,RAW,treated
34,RAW(nc),292,RAW,control
34,MAH(nt),153,MAH,treated
34,MAH(nc),153,MAH,control
34,PSC(nt),153,PSC,treated
34,PSC(nc),153,PSC,control
34,GEN(nt),153,GEN,treated
34,GEN(nc),145,GEN,control
34,CEM(nt),82,CEM,treated
34,CEM(nc),147,CEM,control
