Covariate,Raw,CEM,EBAL
age,0.02703337654363917,-0.03971600504576575,-7.388911067162695e-7
education,0.11185849135648689,-0.00695822285768524,4.176997506387473e-6
black,0.00337127228149225,0,-1.2690732712596184e-5
married,0.02898014230183599,-2.8915595191886565e-17,1.419600260070208e-5
nodegree,-0.20008406111845883,0,6.9004492069447924e-6
re74,-0.016501591643630874,-0.0027486495545013933,-1.9941311580730814e-6
re75,0.007830499257349036,-0.005369533929794856,-3.0224731321096583e-7
hispanic,-0.06127549555245302,0,-7.634826225234974e-7
u74,-0.04039971794597216,0,-1.5762505046935617e-6
u75,-0.09227541558631468,0,-4.147523298724091e-6
